Newport Quantitative Trading and Investment (https://newportquant.com),,,,,,
Last update,2022/03/22,,,,,
DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20220228,20220301,1,MOH,MOLINA HEALTHCARE INC,Health Care,New York Stock Exchange Inc.
20220225,20220228,-1,INFO,IHS MARKIT LTD,Industrials,New York Stock Exchange Inc.
20220216,20220217,1,PARA,PARAMOUNT GLOBAL CLASS B,Communication,NASDAQ
20220216,20220217,-1,VIAC,VIACOMCBS INC CLASS B,Communication,NASDAQ
20220211,20220214,1,NDSN,NORDSON CORP,Industrials,NASDAQ
20220211,20220214,-1,XLNX,XILINX INC,Information Technology,NASDAQ
20220201,20220202,1,CEG,CONSTELLATION ENERGY CORP,Utilities,NASDAQ
20220201,20220202,-1,GPS,GAP INC,Consumer Discretionary,New York Stock Exchange Inc.
20220107,20220110,1,WTW,WILLIS TOWERS WATSON PLC,Financials,NASDAQ
20220107,20220110,-1,WLTW,WILLIS TOWERS WATSON PLC,Financials,NASDAQ
20211216,20211217,1,FDS,FACTSET RESEARCH SYSTEMS INC,Financials,New York Stock Exchange Inc.
20211216,20211217,1,SBNY,SIGNATURE BANK,Financials,NASDAQ
20211216,20211217,1,SEDG,SOLAREDGE TECHNOLOGIES INC,Information Technology,NASDAQ
20211216,20211217,-1,HBI,HANESBRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
20211216,20211217,-1,LEG,LEGGETT & PLATT INC,Consumer Discretionary,New York Stock Exchange Inc.
20211216,20211217,-1,WU,WESTERN UNION,Information Technology,New York Stock Exchange Inc.
20211210,20211213,1,EPAM,EPAM SYSTEMS INC,Information Technology,New York Stock Exchange Inc.
20211210,20211213,-1,KSU,KANSAS CITY SOUTHERN,Industrials,New York Stock Exchange Inc.
20210930,20211001,1,CTRA,COTERRA ENERGY INC,Energy,New York Stock Exchange Inc.
20210930,20211001,-1,COG,CABOT OIL & GAS CORP,Energy,New York Stock Exchange Inc.
20210924,20210927,-1,UNM,UNUM,Financials,New York Stock Exchange Inc.
20210916,20210917,1,BRO,BROWN & BROWN INC,Financials,New York Stock Exchange Inc.
20210916,20210917,1,CDAY,CERIDIAN HCM HOLDING INC,Information Technology,New York Stock Exchange Inc.
20210916,20210917,1,MTCH,MATCH GROUP INC,Communication,NASDAQ
20210916,20210917,-1,NOV,NOV INC,Energy,New York Stock Exchange Inc.
20210916,20210917,-1,PRGO,PERRIGO PLC,Health Care,New York Stock Exchange Inc.
20210826,20210827,1,TECH,BIO TECHNE CORP,Health Care,NASDAQ
20210825,20210826,-1,MXIM,MAXIM INTEGRATED PRODUCTS INC,Information Technology,NASDAQ
20210802,20210803,1,BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,New York Stock Exchange Inc.
20210802,20210803,-1,LB,L BRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
20210719,20210720,1,MRNA,MODERNA INC,Health Care,NASDAQ
20210719,20210720,-1,ALXN,ALEXION PHARMACEUTICALS INC,Health Care,NASDAQ
20210602,20210603,1,OGN,ORGANON,Consumer Staples,New York Stock Exchange Inc.
20210602,20210603,-1,HFC,HOLLYFRONTIER CORP,Energy,New York Stock Exchange Inc.
20210514,20210517,-1,FLIR,FLIR SYSTEMS INC,Information Technology,NASDAQ
20210512,20210513,1,CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,New York Stock Exchange Inc.
20210416,20210419,1,PTC,PTC INC,Information Technology,NASDAQ
20210416,20210419,-1,VAR,VARIAN MEDICAL SYSTEMS INC,Health Care,New York Stock Exchange Inc.
20210318,20210319,1,CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,NASDAQ
20210318,20210319,1,GNRC,GENERAC HOLDINGS INC,Industrials,New York Stock Exchange Inc.
20210318,20210319,1,NXPI,NXP SEMICONDUCTORS NV,Information Technology,NASDAQ
20210318,20210319,1,PENN,PENN NATIONAL GAMING INC,Consumer Discretionary,NASDAQ
20210318,20210319,-1,FLS,FLOWSERVE CORP,Industrials,New York Stock Exchange Inc.
20210318,20210319,-1,SLG,SL GREEN REALTY REIT CORP,Real Estate,New York Stock Exchange Inc.
20210318,20210319,-1,VNT,VONTIER CORP,Information Technology,New York Stock Exchange Inc.
